Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1134200  Y 1534200
X 1138400  Y 1528300
X 1128800  Y 1528200
X 1152300  Y 1526200
X 1147700  Y 1526200
X 1144800  Y 1522000
X 1151900  Y 1521800
X 1137300  Y 1519600
X 1152000  Y 1512800
X 1144000  Y 1510900
X 1136000  Y 1508400
X 1151800  Y 1502500
X 1143600  Y 1500200
X 1144100  Y 1494100
X 1152800  Y 1493952
X 1139300  Y 1492000
X 1153000  Y 1490015
X 1143100  Y 1485200
X 1140100  Y 1476000
X 1131200  Y 1475800
X 1142900  Y 1474600
X 1149100  Y 1469027
X 1142500  Y 1468977
X 1135900  Y 1468928
X 1129300  Y 1468878
X 1146800  Y 1440800
X 1146400  Y 1437200
X 1151200  Y 1437200
X 1129288  Y 1434684
X 1138259  Y 1433393
X 1138659  Y 1428593
X 1138562  Y 1425945
X 1151410  Y 1424559
X 1144444  Y 1422697
X 1151210  Y 1421359
X 1144640  Y 1419393
X 1136359  Y 1417693
X 1132659  Y 1416193
X 1145110  Y 1415059
X 1146002  Y 1410764
X 1134359  Y 1410693
X 1149951  Y 1410186
X 1152610  Y 1410159
X 1146050  Y 1408504
X 1135859  Y 1406693
X 1142891  Y 1406591
X 1130739  Y 1404293
X 1137359  Y 1399193
X 1152374  Y 1398539
X 1150580  Y 1397297
X 1140800  Y 1396000
X 1152200  Y 1395700
X 1135872  Y 1395380
X 1129500  Y 1393100
X 1145000  Y 1391900
X 1128400  Y 1389012
X 1132000  Y 1388980
X 1135600  Y 1388948
X 1139200  Y 1388916
X 1146400  Y 1384852
X 1137750  Y 1369781
X 1151892  Y 1369781
X 1153310  Y 1365593
X 1130679  Y 1362710
X 1144821  Y 1362710
X 1138510  Y 1360028
X 1152259  Y 1360028
X 1139710  Y 1348693
X 1137210  Y 1348693
X 1149110  Y 1335993
X 1141400  Y 1334500
X 1138500  Y 1334500
X 1144000  Y 1334500
X 1130679  Y 1334426
X 1133110  Y 1331393
X 1151892  Y 1327355
X 1137750  Y 1327355
X 1144821  Y 1320284
X 1133600  Y 1317900
X 1131100  Y 1314500
X 1152010  Y 1302893
X 1144429  Y 1302568
X 1138010  Y 1294159
X 1130400  Y 1287729
X 1151428  Y 1285950
X 1136869  Y 1285646
X 1139759  Y 1285483
X 1138217  Y 1284165
X 1130564  Y 1283421
X 1139654  Y 1282729
X 1136886  Y 1282668
X 1138218  Y 1272439
X 1140010  Y 1271487
X 1136893  Y 1270936
X 1139704  Y 1269487
X 1144971  Y 1250572
X 1130679  Y 1249573
X 1144905  Y 1241634
X 1130679  Y 1235431
X 1144840  Y 1232695
X 1144774  Y 1223757
X 1130679  Y 1221289
X 1144708  Y 1214819
X 1130679  Y 1207146
X 1144642  Y 1205881
X 1144576  Y 1196943
X 1144773  Y 1188202
X 1130679  Y 1178862
X 1144903  Y 1177663
X 1144826  Y 1172047
X 1131510  Y 1163259
